Name,Company,Url
Nasheen Liu,The IT Media Group,https://ca.linkedin.com/in/nasheenliu
CIO Association of Canada,CIO Association of Canada,https://ca.linkedin.com/in/cio-association-of-canada-5b1ba927
Uma Gopinath,Porter Airlines Inc.,https://ca.linkedin.com/in/umagopinath
Sanjiv Purba,Prairie Payments Joint Venture,https://ca.linkedin.com/in/spurba
Nasheen Liu,The IT Media Group,https://ca.linkedin.com/in/nasheenliu
CIO Association of Canada,CIO Association of Canada,https://ca.linkedin.com/in/cio-association-of-canada-5b1ba927
Uma Gopinath,Porter Airlines Inc.,https://ca.linkedin.com/in/umagopinath
Michael Barr,University of Saskatchewan,https://ca.linkedin.com/in/michael-barr-075729a
Sanjiv Purba,Prairie Payments Joint Venture,https://ca.linkedin.com/in/spurba
Grant Ferguson,CIO Association of Canada,https://ca.linkedin.com/in/granteferguson
Lance Martel,STAPLES Canada,https://ca.linkedin.com/in/lancemartel
Philippe Johnston,CATSA / ACSTA,https://ca.linkedin.com/in/philippe-johnston
Rex Lee,Canadian Tire Corporation,https://ca.linkedin.com/in/rexlee
Jim Dundas,Retired CIO and Executive IT Leader,https://ca.linkedin.com/in/jim-dundas-9b9468b
Gary Davenport,CIO Association of Canada,https://ca.linkedin.com/in/gary-davenport-73834918
Adam Templeton,Aecon Group Inc.,https://ca.linkedin.com/in/atempleton1
Matthieu Houle,ALDO Group,https://ca.linkedin.com/in/matthieuhoule
<UNKNOWN>,CanadaCIO,https://ca.linkedin.com/in/canadacio
Mark E.S. Bernard,<UNKNOWN>,https://ca.linkedin.com/in/markesbernard
John Hill,Canada's Sports Hall of Fame,https://ca.linkedin.com/in/johnhillcalgary
Paul Bellack,EY,https://ca.linkedin.com/in/paulbellack
Martin Davis,CAA Atlantic,https://ca.linkedin.com/in/mpdavis
Alexandre Oliveira,CIO Association of Canada,https://ca.linkedin.com/in/alexandrelisboa
CJ Ritchie,Government of British Columbia,https://ca.linkedin.com/in/cjritchie
Mark Anthony Di Cio,Bell Media,https://ca.linkedin.com/in/mark-anthony-di-cio-177b8b38
Sean Terriah,Kruger Inc.,https://ca.linkedin.com/in/seanterriah
Patty Di Cio,RBC,https://ca.linkedin.com/in/patty-di-cio-0019a756
Miguel Kanafany,AutoTrader.ca,https://ca.linkedin.com/in/miguel-kanafany-mba
Leslie Sim,Out of the Box CIO,https://ca.linkedin.com/in/lesliesim4
Nicolai Salcedo,CIO Executive Leadership Summit,https://ca.linkedin.com/in/nicolaisalcedo
Michael A. Eubanks,Allstate Canada,https://ca.linkedin.com/in/michaelanthonyeubanks
Cio Ellorin,KPMG,https://ca.linkedin.com/in/iellorin
Susan Pound,Toronto CIO and Calgary CIO,https://ca.linkedin.com/in/susan-pound-875a5417
Dale Schitka,CIO,https://ca.linkedin.com/in/daleschitka
Kin Lee-Yow,CAA Club Group,https://ca.linkedin.com/in/mkleeyow
Sherif Sheta,OmniaBio,https://ca.linkedin.com/in/ssheta
Wayne Hong,Fundserv Inc.,https://ca.linkedin.com/in/waynehong
Peter Kehler,CIO,https://ca.linkedin.com/in/peter-kehler-a3914812
Lorraine Bauer,CIO Association of Canada,https://ca.linkedin.com/in/lorraine-bauer-10321712
cio. direction,Chambre immobilière de l'Outaouais,https://ca.linkedin.com/in/cio-direction-61215998
Tribune des CIO Montreal,Réseau ActionTI,https://ca.linkedin.com/in/tribune-des-cio-montreal-688b9149
Yann-Seing Law-Kam Cio,DesignBot,https://ca.linkedin.com/in/yann-seing-law-kam-cio-348566b0
Rob Meikle,"Brampton, Ontario, Canada",https://ca.linkedin.com/in/rob-meikle
Allison Boutilier,Cape Breton University,https://ca.linkedin.com/in/allison-boutilier-cio-d-3782934
Greg Kaufman CIO.D,Toronto,https://ca.linkedin.com/in/greg-kaufman-cio-d-6301b52
John Comacchio,Teknion,https://ca.linkedin.com/in/johncomacchio
Bruce Burrows,BB Advisors Inc,https://ca.linkedin.com/in/bruce-burrows-4571774
Danny Bandiera,City of Coquitlam,https://ca.linkedin.com/in/danny-bandiera-cio-d-860b9b122
Ronald R. Rodriguez,CIO Association of Canada,https://ca.linkedin.com/in/ronaldrodriguez
Mirela Matache,LafargeHolcim,https://ca.linkedin.com/in/mmpetca
Chris Henry,Chris Henry,https://ca.linkedin.com/in/chrisbio
Sachin Jain,"Toronto, Ontario, Canada",https://ca.linkedin.com/in/jainsachin16
Hugh Sawyer,CIO Advantage,https://ca.linkedin.com/in/hugh-sawyer-45ab956